* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2023 12:35:09 PM
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: 
* Measurement: Mar 10
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
219.726581 66.634 174.4307
220.092792 66.628 174.4306
220.459003 66.622 174.4307
220.825214 66.616 174.4307
221.191425 66.611 174.4309
221.557635 66.605 174.4311
221.923846 66.599 174.4313
222.290057 66.593 174.4316
222.656268 66.588 174.4320
223.022479 66.582 174.4324
223.388690 66.576 174.4329
223.754901 66.571 174.4333
224.121112 66.565 174.4339
224.487323 66.559 174.4344
224.853534 66.554 174.4351
225.219745 66.548 174.4357
225.585956 66.542 174.4364
225.952167 66.537 174.4371
226.318378 66.531 174.4379
226.684589 66.526 174.4387
227.050800 66.520 174.4395
227.417011 66.515 174.4404
227.783222 66.509 174.4413
228.149433 66.504 174.4423
228.515644 66.498 174.4433
228.881855 66.493 174.4443
229.248066 66.487 174.4454
229.614277 66.482 174.4465
229.980488 66.476 174.4477
230.346699 66.471 174.4489
230.712910 66.465 174.4501
231.079121 66.460 174.4514
231.445332 66.454 174.4528
231.811543 66.449 174.4541
232.177754 66.444 174.4555
232.543965 66.438 174.4570
232.910175 66.433 174.4585
233.276386 66.428 174.4600
233.642597 66.422 174.4617
234.008808 66.417 174.4633
234.375019 66.412 174.4650
234.741230 66.406 174.4667
235.107441 66.401 174.4685
235.473652 66.396 174.4703
235.839863 66.391 174.4722
236.206074 66.385 174.4742
236.572285 66.380 174.4761
236.938496 66.375 174.4782
237.304707 66.370 174.4803
237.670918 66.365 174.4824
238.037129 66.360 174.4846
238.403340 66.354 174.4868
238.769551 66.349 174.4891
239.135762 66.344 174.4915
239.501973 66.339 174.4938
239.868184 66.334 174.4963
240.234395 66.329 174.4988
240.600606 66.324 174.5013
240.966817 66.319 174.5039
241.333028 66.314 174.5065
241.699239 66.309 174.5093
242.065450 66.304 174.5120
242.431661 66.299 174.5148
242.797872 66.294 174.5178
243.164083 66.289 174.5207
243.530294 66.284 174.5237
243.896504 66.279 174.5267
244.262715 66.274 174.5298
244.628926 66.269 174.5330
244.995137 66.264 174.5363
245.361348 66.260 174.5396
245.727559 66.255 174.5430
246.093770 66.250 174.5464
246.459981 66.245 174.5500
246.826192 66.240 174.5535
247.192403 66.236 174.5572
247.558614 66.231 174.5609
247.924825 66.226 174.5648
248.291036 66.221 174.5686
248.657247 66.217 174.5725
249.023458 66.212 174.5765
249.389669 66.207 174.5806
249.755880 66.202 174.5848
250.122091 66.198 174.5890
250.488302 66.193 174.5933
250.854513 66.189 174.5977
251.220724 66.184 174.6021
251.586935 66.179 174.6066
251.953146 66.175 174.6112
252.319357 66.170 174.6158
252.685568 66.165 174.6206
253.051779 66.161 174.6254
253.417990 66.156 174.6302
253.784201 66.152 174.6352
254.150412 66.147 174.6402
254.516623 66.143 174.6453
254.882834 66.138 174.6505
255.249044 66.134 174.6556
255.615255 66.129 174.6609
255.981466 66.125 174.6663
256.347677 66.120 174.6717
