* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2023 12:33:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Mar 10
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
284.912133 66.455 173.3550
285.278344 66.452 173.3633
285.644555 66.448 173.3717
286.010766 66.444 173.3801
286.376977 66.441 173.3884
286.743188 66.437 173.3969
287.109399 66.433 173.4053
287.475610 66.430 173.4138
287.841821 66.426 173.4222
288.208032 66.423 173.4308
288.574243 66.419 173.4393
288.940453 66.416 173.4479
289.306664 66.412 173.4565
289.672875 66.409 173.4651
290.039086 66.405 173.4737
290.405297 66.402 173.4824
290.771508 66.398 173.4910
291.137719 66.395 173.4998
291.503930 66.391 173.5085
291.870141 66.388 173.5173
292.236352 66.384 173.5261
292.602563 66.381 173.5349
292.968774 66.378 173.5438
293.334985 66.374 173.5526
293.701196 66.371 173.5615
294.067407 66.367 173.5704
294.433618 66.364 173.5794
294.799829 66.361 173.5884
295.166040 66.357 173.5974
295.532251 66.354 173.6064
295.898462 66.351 173.6155
296.264673 66.347 173.6246
296.630884 66.344 173.6338
296.997095 66.341 173.6429
297.363306 66.338 173.6521
297.729517 66.334 173.6613
298.095728 66.331 173.6706
298.461939 66.328 173.6798
298.828150 66.325 173.6891
299.194361 66.321 173.6984
299.560572 66.318 173.7078
299.926782 66.315 173.7171
300.292993 66.312 173.7265
300.659204 66.309 173.7359
301.025415 66.305 173.7453
301.391626 66.302 173.7548
301.757837 66.299 173.7642
302.124048 66.296 173.7737
302.490259 66.293 173.7832
302.856470 66.290 173.7927
303.222681 66.286 173.8022
303.588892 66.283 173.8118
303.955103 66.280 173.8214
304.321314 66.277 173.8309
304.687525 66.274 173.8405
305.053736 66.271 173.8501
305.419947 66.268 173.8597
305.786158 66.265 173.8693
306.152369 66.262 173.8790
306.518580 66.259 173.8886
306.884791 66.255 173.8982
307.251002 66.252 173.9078
307.617213 66.249 173.9175
307.983424 66.246 173.9271
308.349635 66.243 173.9368
308.715846 66.240 173.9465
309.082057 66.237 173.9561
309.448268 66.234 173.9658
309.814479 66.231 173.9755
310.180690 66.228 173.9851
310.546901 66.225 173.9948
310.913112 66.222 174.0045
311.279322 66.219 174.0141
311.645533 66.216 174.0238
312.011744 66.213 174.0335
312.377955 66.210 174.0432
312.744166 66.207 174.0529
313.110377 66.204 174.0625
313.476588 66.201 174.0722
313.842799 66.198 174.0819
314.209010 66.195 174.0916
314.575221 66.192 174.1013
314.941432 66.190 174.1110
315.307643 66.187 174.1207
315.673854 66.184 174.1305
316.040065 66.181 174.1402
316.406276 66.178 174.1500
316.772487 66.175 174.1597
317.138698 66.172 174.1695
317.504909 66.169 174.1793
317.871120 66.166 174.1891
318.237331 66.164 174.1989
318.603542 66.161 174.2087
318.969753 66.158 174.2186
319.335964 66.155 174.2285
319.702175 66.152 174.2383
320.068386 66.149 174.2483
320.434597 66.147 174.2582
320.800808 66.144 174.2682
321.167019 66.141 174.2781
321.533230 66.138 174.2882
321.899441 66.135 174.2982
322.265651 66.133 174.3083
322.631862 66.130 174.3184
322.998073 66.127 174.3285
323.364284 66.124 174.3386
323.730495 66.122 174.3488
324.096706 66.119 174.3590
324.462917 66.116 174.3693
324.829128 66.113 174.3796
325.195339 66.111 174.3899
325.561550 66.108 174.4002
325.927761 66.105 174.4106
326.293972 66.103 174.4210
326.660183 66.100 174.4314
